225  1  2
1 3
+0.00000000000	+0.00600100000	+0.00000000000	-0.00000000000	-0.00000000000
+0.00002287000	+0.00599900000	+0.00000000000	+0.00029650000	+0.00000000000
+0.00004574000	+0.00599000000	+0.00000000000	+0.00059250000	+0.00000000000
+0.00006861000	+0.00597500000	+0.00000000000	+0.00088800000	+0.00000000000
+0.00009148000	+0.00595400000	+0.00000000000	+0.00118300000	+0.00000000000
+0.00011435000	+0.00592800000	+0.00000000000	+0.00147650000	+0.00000000000
+0.00013722000	+0.00589500000	+0.00000000000	+0.00176850000	+0.00000000000
+0.00016009000	+0.00585700000	+0.00000000000	+0.00205900000	+0.00000000000
+0.00018296000	+0.00581300000	+0.00000000000	+0.00234700000	+0.00000000000
+0.00020583000	+0.00576300000	+0.00000000000	+0.00263300000	+0.00000000000
+0.00022870000	+0.00570800000	+0.00000000000	+0.00291650000	+0.00000000000
+0.00025157000	+0.00564700000	+0.00000000000	+0.00319700000	+0.00000000000
+0.00027444000	+0.00558000000	+0.00000000000	+0.00347450000	+0.00000000000
+0.00029731000	+0.00550800000	+0.00000000000	+0.00374800000	+0.00000000000
+0.00032018000	+0.00543000000	+0.00000000000	+0.00401850000	+0.00000000000
+0.00034305000	+0.00534700000	+0.00000000000	+0.00428450000	+0.00000000000
+0.00036592000	+0.00525900000	+0.00000000000	+0.00454650000	+0.00000000000
+0.00038879000	+0.00516600000	+0.00000000000	+0.00480400000	+0.00000000000
+0.00041166000	+0.00506700000	+0.00000000000	+0.00505700000	+0.00000000000
+0.00043453000	+0.00496400000	+0.00000000000	+0.00530500000	+0.00000000000
+0.00045740000	+0.00485500000	+0.00000000000	+0.00554700000	+0.00000000000
+0.00048027000	+0.00474200000	+0.00000000000	+0.00578450000	+0.00000000000
+0.00050314000	+0.00462400000	+0.00000000000	+0.00601550000	+0.00000000000
+0.00052601000	+0.00450200000	+0.00000000000	+0.00624100000	+0.00000000000
+0.00054888000	+0.00437500000	+0.00000000000	+0.00646050000	+0.00000000000
+0.00057175000	+0.00424400000	+0.00000000000	+0.00667350000	+0.00000000000
+0.00059462000	+0.00410800000	+0.00000000000	+0.00687950000	+0.00000000000
+0.00061749000	+0.00396900000	+0.00000000000	+0.00707900000	+0.00000000000
+0.00064036000	+0.00382500000	+0.00000000000	+0.00727150000	+0.00000000000
+0.00066323000	+0.00367800000	+0.00000000000	+0.00745700000	+0.00000000000
+0.00068610000	+0.00352800000	+0.00000000000	+0.00763500000	+0.00000000000
+0.00070897000	+0.00337300000	+0.00000000000	+0.00780550000	+0.00000000000
+0.00073184000	+0.00321600000	+0.00000000000	+0.00796850000	+0.00000000000
+0.00075471000	+0.00305500000	+0.00000000000	+0.00812300000	+0.00000000000
+0.00077758000	+0.00289100000	+0.00000000000	+0.00827000000	+0.00000000000
+0.00080045000	+0.00272500000	+0.00000000000	+0.00840850000	+0.00000000000
+0.00082332000	+0.00255500000	+0.00000000000	+0.00853900000	+0.00000000000
+0.00084619000	+0.00238400000	+0.00000000000	+0.00866100000	+0.00000000000
+0.00086906000	+0.00220900000	+0.00000000000	+0.00877450000	+0.00000000000
+0.00089193000	+0.00203300000	+0.00000000000	+0.00887950000	+0.00000000000
+0.00091480000	+0.00185500000	+0.00000000000	+0.00897550000	+0.00000000000
+0.00093767000	+0.00167400000	+0.00000000000	+0.00906300000	+0.00000000000
+0.00096054000	+0.00149200000	+0.00000000000	+0.00914100000	+0.00000000000
+0.00098341000	+0.00130900000	+0.00000000000	+0.00921050000	+0.00000000000
+0.00100628000	+0.00112500000	+0.00000000000	+0.00927050000	+0.00000000000
+0.00102915000	+0.00093900000	+0.00000000000	+0.00932150000	+0.00000000000
+0.00105202000	+0.00075200000	+0.00000000000	+0.00936300000	+0.00000000000
+0.00107489000	+0.00056500000	+0.00000000000	+0.00939550000	+0.00000000000
+0.00109776000	+0.00037700000	+0.00000000000	+0.00941900000	+0.00000000000
+0.00112063000	+0.00018900000	+0.00000000000	+0.00943250000	+0.00000000000
+0.00114350000	+0.00000000000	+0.00000000000	+0.00943750000	+0.00000000000
+0.00116637000	+0.00000000000	+0.00000000000	+0.00000000000	+0.00000000000
+0.00118924000	+0.00000000000	+0.00000000000	+0.00000000000	+0.00000000000
+0.00121211000	+0.00000000000	+0.00000000000	+0.00000000000	+0.00000000000
+0.00123498000	+0.00000000000	+0.00000000000	+0.00000000000	+0.00000000000
+0.00125785000	+0.00000000000	+0.00000000000	+0.00000000000	+0.00000000000
+0.00128072000	+0.00000000000	+0.00000000000	+0.00000000000	+0.00000000000
+0.00130359000	+0.00000000000	+0.00000000000	+0.00000000000	+0.00000000000
+0.00132646000	+0.00000000000	+0.00000000000	+0.00000000000	+0.00000000000
+0.00134933000	+0.00000000000	+0.00000000000	+0.00000000000	+0.00000000000
+0.00137220000	+0.00000000000	+0.00000000000	+0.00000000000	+0.00000000000
+0.00139507000	+0.00000000000	+0.00000000000	+0.00000000000	+0.00000000000
+0.00141794000	+0.00000000000	+0.00000000000	+0.00000000000	+0.00000000000
